"method","confounding","effect_modification","num_obs","reliability","beta_mxr","beta_ym","mean","sd","lower_pct","upper_pct","p_value","significance","bias"
"standard",0,0,100,0.75,0.204,0,-0.160200455859365,0.150468964515477,-0.434190293690041,0.0931479011800495,0.287023294633475,FALSE,-0.160200455859365
"gestimation",0,0,100,0.75,0.204,0,-0.133244395980995,0.356293995507659,-0.915776372123872,0.568672418747406,0.708424275351188,FALSE,-0.133244395980995
"standard",0,0,100,0.75,0.204,0,0.154617040327993,0.155550718574377,-0.17420031420068,0.381550680743319,0.320224037799689,FALSE,0.154617040327993
"gestimation",0,0,100,0.75,0.204,0,-0.40896620486495,0.345310073335571,-1.22463772154613,0.165884767424456,0.236276584190491,FALSE,-0.40896620486495
"standard",0,0,100,0.75,0.204,0,0.118067394316035,0.163809041444839,-0.204216576159261,0.40904489366,0.471055726103768,FALSE,0.118067394316035
"gestimation",0,0,100,0.75,0.204,0,-0.102701155282343,0.255005040730337,-0.611527014363362,0.379755359105743,0.687138277751143,FALSE,-0.102701155282343
"standard",0,0,100,0.75,0.204,0,-0.0332005809639759,0.14770459608373,-0.30111961020035,0.266942345804193,0.822152838749605,FALSE,-0.0332005809639759
"gestimation",0,0,100,0.75,0.204,0,-0.681184641460796,0.840675712448127,-3.01145768692518,0.449837319109026,0.417777951539725,FALSE,-0.681184641460796
"standard",0,0,100,0.75,0.204,0,-0.13969615177302,0.14368547680953,-0.368008173539891,0.132562135487369,0.330933298309772,FALSE,-0.13969615177302
"gestimation",0,0,100,0.75,0.204,0,0.00213302359133296,0.378533456588087,-0.668930788693642,0.987787595429347,0.995503970507644,FALSE,0.00213302359133296
"standard",0,0,100,0.75,0.204,0,0.0429186686474364,0.144871528370927,-0.225154580777584,0.314823691187937,0.767036645601128,FALSE,0.0429186686474364
"gestimation",0,0,100,0.75,0.204,0,-0.0542349667389217,0.344840357753973,-0.772933423504455,0.569624482534592,0.875027666289311,FALSE,-0.0542349667389217
"standard",0,0,100,0.75,0.204,0,0.187973981165682,0.165476822396455,-0.0975387276996027,0.504420185840223,0.255976011673753,FALSE,0.187973981165682
"gestimation",0,0,100,0.75,0.204,0,0.594833105368904,0.360023208735116,-0.0236547376464333,1.39313634126441,0.0984922242540006,FALSE,0.594833105368904
"standard",0,0,100,0.75,0.204,0,0.103507135399749,0.167595188948703,-0.233304626323538,0.428920383658779,0.536837680603735,FALSE,0.103507135399749
"gestimation",0,0,100,0.75,0.204,0,-0.783206832794545,1.230334552093,-3.07141553562788,2.73128487719736,0.524398210504439,FALSE,-0.783206832794545
"standard",0,0,100,0.75,0.204,0,0.0822528123686894,0.118269041296677,-0.129003182008385,0.341787251144305,0.486759522484286,FALSE,0.0822528123686894
"gestimation",0,0,100,0.75,0.204,0,0.272778588377049,0.429292403862726,-0.604137876508038,1.15689337048619,0.525158158863027,FALSE,0.272778588377049
"standard",0,0,100,0.75,0.204,0,0.407235288142702,0.138587171039692,0.116243958354978,0.633786851342982,0.00329828565070471,TRUE,0.407235288142702
"gestimation",0,0,100,0.75,0.204,0,0.458291915173325,0.649409297843231,-0.482560996578371,1.83530168390611,0.48037110651189,FALSE,0.458291915173325
"standard",0,0,100,0.75,0.204,0,0.0968350113388063,0.127615537597071,-0.150035752985887,0.385073019267051,0.447970605057796,FALSE,0.0968350113388063
"gestimation",0,0,100,0.75,0.204,0,0.154001836530056,0.25010656376912,-0.394348004094163,0.627233156365031,0.538062910418304,FALSE,0.154001836530056
"standard",0,0,100,0.75,0.204,0,0.0548221900059325,0.131942241910669,-0.160991556772041,0.322950698242532,0.677774869568227,FALSE,0.0548221900059325
"gestimation",0,0,100,0.75,0.204,0,-0.194612242770325,0.179899367572173,-0.512625286280486,0.14505049859831,0.279348554009373,FALSE,-0.194612242770325
"standard",0,0,100,0.75,0.204,0,-0.219988200282842,0.155936617260109,-0.496980357644784,0.0678723274342283,0.158317174217394,FALSE,-0.219988200282842
"gestimation",0,0,100,0.75,0.204,0,-0.646564694889225,0.607417393152609,-2.06343356994198,0.250733182378903,0.287125452017422,FALSE,-0.646564694889225
"standard",0,0,100,0.75,0.204,0,0.00138492472798767,0.139537501268039,-0.273404211262009,0.249631816057683,0.992081039816891,FALSE,0.00138492472798767
"gestimation",0,0,100,0.75,0.204,0,0.41397984109216,0.608482463943715,-0.432397832002213,1.62210385195009,0.496284124051091,FALSE,0.41397984109216
"standard",0,0,100,0.75,0.204,0,0.149944050891703,0.162635773673151,-0.172328790197748,0.450938912667253,0.356548244156644,FALSE,0.149944050891703
"gestimation",0,0,100,0.75,0.204,0,0.27091321677188,0.920130275181955,-1.07563771326904,1.45980883152284,0.768429960214557,FALSE,0.27091321677188
"standard",0,0,100,0.75,0.204,0,0.03022243033735,0.149910492198505,-0.243046823544417,0.357224386504273,0.840226967367355,FALSE,0.03022243033735
"gestimation",0,0,100,0.75,0.204,0,-0.0410375193216417,0.316713796019057,-0.546010173950817,0.440111551499824,0.896904359364258,FALSE,-0.0410375193216417
"standard",0,0,100,0.75,0.204,0,-0.172895403925987,0.149336559324721,-0.429330618629359,0.115172237849386,0.246963333165886,FALSE,-0.172895403925987
"gestimation",0,0,100,0.75,0.204,0,-0.0297888366020401,0.317969259752352,-0.614382871337504,0.522381433354051,0.925359669686395,FALSE,-0.0297888366020401
"standard",0,0,100,0.75,0.204,0,-0.180159138492524,0.160238839978841,-0.495025656370653,0.190455997195661,0.260878868972122,FALSE,-0.180159138492524
"gestimation",0,0,100,0.75,0.204,0,-0.395947922782124,0.458164904484323,-1.19007975977036,0.563185525642826,0.387475859627006,FALSE,-0.395947922782124
"standard",0,0,100,0.75,0.204,0,-0.106790646910322,0.15196019790509,-0.356000164254983,0.157743078312633,0.482209027710216,FALSE,-0.106790646910322
"gestimation",0,0,100,0.75,0.204,0,-0.395541737418255,0.767447125353719,-1.91174510507692,0.845795281498676,0.606273997655984,FALSE,-0.395541737418255
"standard",0,0,100,0.75,0.204,0,-0.0853086572622269,0.128541185765396,-0.323166966530021,0.180466723189801,0.506902896429006,FALSE,-0.0853086572622269
"gestimation",0,0,100,0.75,0.204,0,-0.761348662113858,0.602466040171983,-2.06563246072038,0.204783487899263,0.206330378407751,FALSE,-0.761348662113858
"standard",0,0,100,0.75,0.204,0,0.0456509868300597,0.156660998230259,-0.230059083118037,0.365836362884994,0.770745551488698,FALSE,0.0456509868300597
"gestimation",0,0,100,0.75,0.204,0,-0.166559107710442,0.336722934268513,-0.89263449321562,0.344297829132071,0.620849071113369,FALSE,-0.166559107710442
"standard",0,0,100,0.75,0.204,0,-0.37269684858914,0.129462266980771,-0.591183447625749,-0.172188298210665,0.00399182854797516,TRUE,-0.37269684858914
"gestimation",0,0,100,0.75,0.204,0,-0.170377638538178,0.308399578573253,-0.683151493572772,0.406946722249956,0.580634992905678,FALSE,-0.170377638538178
"standard",0,0,100,0.75,0.204,0,-0.163591490721294,0.145153004668123,-0.407417062779222,0.128999769173463,0.259730671383324,FALSE,-0.163591490721294
"gestimation",0,0,100,0.75,0.204,0,-0.776169730133315,0.978901703135976,-2.97061967689398,0.616215386812722,0.427836938682639,FALSE,-0.776169730133315
"standard",0,0,100,0.75,0.204,0,-0.0379195998608139,0.160986253822017,-0.328998525061127,0.28487224249501,0.813785309305933,FALSE,-0.0379195998608139
"gestimation",0,0,100,0.75,0.204,0,-0.376457017606229,0.646484801334441,-1.34530149706427,0.590953109905656,0.560355335654392,FALSE,-0.376457017606229
"standard",0,0,100,0.75,0.204,0,0.0677897713455552,0.135098249056462,-0.167122186878901,0.327218343212793,0.615821387807244,FALSE,0.0677897713455552
"gestimation",0,0,100,0.75,0.204,0,0.0669869918687866,0.264449959425413,-0.380813463848409,0.525207709746633,0.800031086605636,FALSE,0.0669869918687866
"standard",0,0,100,0.75,0.204,0,-0.0629405196680915,0.168696907824323,-0.315634060656484,0.291523048430152,0.709075327369132,FALSE,-0.0629405196680915
"gestimation",0,0,100,0.75,0.204,0,0.56705693757909,0.362875308826709,-0.060886118934995,1.37834384707212,0.118128561846957,FALSE,0.56705693757909
"standard",0,0,100,0.75,0.204,0,-0.0592978266280439,0.155520995085733,-0.354905183423575,0.225412940848468,0.702991763629612,FALSE,-0.0592978266280439
"gestimation",0,0,100,0.75,0.204,0,0.0678980732066015,0.349653860270911,-0.490599585956957,0.542934790402071,0.846029822056557,FALSE,0.0678980732066015
"standard",0,0,100,0.75,0.204,0,-0.0803957643861124,0.108771503996634,-0.278853147303786,0.115560066196504,0.459830949539477,FALSE,-0.0803957643861124
"gestimation",0,0,100,0.75,0.204,0,-0.359999434765493,0.341186404493372,-0.979351733851506,0.150480539385482,0.291361284328999,FALSE,-0.359999434765493
"standard",0,0,100,0.75,0.204,0,0.10795603493327,0.136859636652194,-0.144595897468231,0.398990331696482,0.430223982474115,FALSE,0.10795603493327
"gestimation",0,0,100,0.75,0.204,0,0.333860577658443,0.319223411949733,-0.258344479252713,0.946604353676228,0.295629175055959,FALSE,0.333860577658443
"standard",0,0,100,0.75,0.204,0,-0.216848673239291,0.131753608631323,-0.449300838817237,0.0481571691464304,0.0997915247247775,FALSE,-0.216848673239291
"gestimation",0,0,100,0.75,0.204,0,-0.447345891676009,0.379025589049631,-1.30002780287629,0.12920777819652,0.237899811720446,FALSE,-0.447345891676009
"standard",0,0,100,0.75,0.204,0,-0.156716297774779,0.154154996454339,-0.439679238747491,0.231168234246354,0.309336566070412,FALSE,-0.156716297774779
"gestimation",0,0,100,0.75,0.204,0,-0.0801315711199377,0.364768320143292,-0.714827780815614,0.656328290114684,0.826121947956693,FALSE,-0.0801315711199377
"standard",0,0,100,0.75,0.204,0,-0.0838567066554097,0.14082925759531,-0.342750934112031,0.171463732830096,0.551543066666205,FALSE,-0.0838567066554097
"gestimation",0,0,100,0.75,0.204,0,-0.160532099761193,0.327621005185698,-0.624952010912545,0.683329274887675,0.624138635001746,FALSE,-0.160532099761193
"standard",0,0,100,0.75,0.204,0,-0.149088301788848,0.158934561438819,-0.431620654936366,0.195567645176019,0.348219567566366,FALSE,-0.149088301788848
"gestimation",0,0,100,0.75,0.204,0,0.404419626238217,0.351449575641783,-0.249754553824835,0.972767290911171,0.249847948670218,FALSE,0.404419626238217
"standard",0,0,100,0.75,0.204,0,-0.329453520304607,0.159589074455459,-0.604329592135932,0.0429936551572832,0.0389810916958264,FALSE,-0.329453520304607
"gestimation",0,0,100,0.75,0.204,0,0.114468018194929,0.625902591626932,-0.850600140040899,1.07894836751089,0.854888474899977,FALSE,0.114468018194929
"standard",0,0,100,0.75,0.204,0,-0.00700155993138423,0.165616209249514,-0.292984874786818,0.290617413841347,0.966278826284304,FALSE,-0.00700155993138423
"gestimation",0,0,100,0.75,0.204,0,0.143694782169474,0.282841093942163,-0.357960571413593,0.670344521974305,0.611424813564867,FALSE,0.143694782169474
"standard",0,0,100,0.75,0.204,0,0.018413844871587,0.157937081351044,-0.279982012831681,0.280224797584603,0.907185160434785,FALSE,0.018413844871587
"gestimation",0,0,100,0.75,0.204,0,-0.178748385709335,1.09647205258276,-1.72490331249569,1.09896430636988,0.870501602076859,FALSE,-0.178748385709335
"standard",0,0,100,0.75,0.204,0,0.0463290833396925,0.185343509212924,-0.287956189888498,0.387261987133103,0.80261569622652,FALSE,0.0463290833396925
"gestimation",0,0,100,0.75,0.204,0,0.308237250052315,0.448233359851173,-0.555927556977823,1.25442090400908,0.491659751118067,FALSE,0.308237250052315
"standard",0,0,100,0.75,0.204,0,-0.204778705053129,0.140370983237891,-0.460544720040068,0.120002800198646,0.14460934673349,FALSE,-0.204778705053129
"gestimation",0,0,100,0.75,0.204,0,-0.00518896503791194,0.313299571637228,-0.489449637493186,0.615335866759086,0.98678579165135,FALSE,-0.00518896503791194
"standard",0,0,100,0.75,0.204,0,0.0401163546163344,0.129736763080295,-0.209759254351224,0.280445875228091,0.757159148570241,FALSE,0.0401163546163344
"gestimation",0,0,100,0.75,0.204,0,-0.198987319528092,0.368419155553914,-0.851306870583906,0.527338962121316,0.589120333511219,FALSE,-0.198987319528092
"standard",0,0,100,0.75,0.204,0,-0.193877956231562,0.147179451129541,-0.471773788565335,0.110454936796843,0.187741579202347,FALSE,-0.193877956231562
"gestimation",0,0,100,0.75,0.204,0,-0.586676166424602,0.406810042285408,-1.41956148376799,0.0780318823467626,0.149263484567484,FALSE,-0.586676166424602
"standard",0,0,100,0.75,0.204,0,-0.309411834098475,0.127781696763819,-0.55152437523197,-0.0288120619336128,0.0154604435968722,TRUE,-0.309411834098475
"gestimation",0,0,100,0.75,0.204,0,-0.368448973774095,0.33443993789418,-0.909865537405911,0.186415583508491,0.270596675773986,FALSE,-0.368448973774095
"standard",0,0,100,0.75,0.204,0,-0.0882106205590887,0.16713131949392,-0.393159396466383,0.268566130349769,0.597643514347364,FALSE,-0.0882106205590887
"gestimation",0,0,100,0.75,0.204,0,0.00832091291501579,0.426411189218635,-0.586190165040699,0.842262926296231,0.984431209154256,FALSE,0.00832091291501579
"standard",0,0,100,0.75,0.204,0,-0.00425964171386581,0.170526791508432,-0.323216335685357,0.282174739984164,0.980071466100448,FALSE,-0.00425964171386581
"gestimation",0,0,100,0.75,0.204,0,-0.000982296588283025,0.584482369963786,-1.1423509060599,0.914040616447179,0.998659054655466,FALSE,-0.000982296588283025
"standard",0,0,100,0.75,0.204,0,-0.180000723195144,0.120673705342565,-0.425721558858981,0.0359478677793848,0.135795725450845,FALSE,-0.180000723195144
"gestimation",0,0,100,0.75,0.204,0,-0.343258928846155,0.424635943368685,-1.20174945875697,0.402690307731374,0.418883076638003,FALSE,-0.343258928846155
"standard",0,0,100,0.75,0.204,0,0.140037824446347,0.112815243540303,-0.0757100435677439,0.352079510727852,0.214494085002004,FALSE,0.140037824446347
"gestimation",0,0,100,0.75,0.204,0,0.157119846570409,0.519091722391763,-1.05929683846008,0.910565532054549,0.762132031836314,FALSE,0.157119846570409
"standard",0,0,100,0.75,0.204,0,0.360783038563298,0.153017485976332,0.0342483888954768,0.580778489061587,0.0183841089077748,TRUE,0.360783038563298
"gestimation",0,0,100,0.75,0.204,0,0.399572576708099,0.32401967299368,-0.2469724759324,1.03686916933822,0.217510922006519,FALSE,0.399572576708099
"standard",0,0,100,0.75,0.204,0,-0.00649351750096451,0.191054474853339,-0.373659765631729,0.28295262281163,0.972886895045946,FALSE,-0.00649351750096451
"gestimation",0,0,100,0.75,0.204,0,0.0846989211205573,0.332797562685142,-0.497366397285329,0.792145981818884,0.799104797856979,FALSE,0.0846989211205573
"standard",0,0,100,0.75,0.204,0,0.092498544786426,0.157845724915732,-0.226639360179298,0.404240862743189,0.557871470423812,FALSE,0.092498544786426
"gestimation",0,0,100,0.75,0.204,0,0.333525960722995,0.257758100385943,-0.0952229567073813,0.949458309613552,0.19568287071015,FALSE,0.333525960722995
"standard",0,0,100,0.75,0.204,0,0.0579177807038154,0.177956786843483,-0.231382441552397,0.399465387844605,0.744833100918579,FALSE,0.0579177807038154
"gestimation",0,0,100,0.75,0.204,0,0.43332529842883,0.486726134896275,-0.282972944343228,1.31157216827216,0.373312518861546,FALSE,0.43332529842883
"standard",0,0,100,0.75,0.204,0,-0.0302932710777385,0.178915718133286,-0.401415430051261,0.338180915142298,0.865548191083821,FALSE,-0.0302932710777385
"gestimation",0,0,100,0.75,0.204,0,-0.0387706238904705,0.860606489797818,-2.00931191121977,1.45927368434075,0.964067175878923,FALSE,-0.0387706238904705
"standard",0,0,100,0.75,0.204,0,-0.0163252663441425,0.16255096227723,-0.313017456878303,0.343550434643347,0.920001619330683,FALSE,-0.0163252663441425
"gestimation",0,0,100,0.75,0.204,0,0.167546918387507,0.328210590632907,-0.370484066493104,0.828576362731543,0.609711005746008,FALSE,0.167546918387507
"standard",0,0,100,0.75,0.204,0,0.0399650688427672,0.165069334320761,-0.309700082719054,0.371649078009672,0.8086943087342,FALSE,0.0399650688427672
"gestimation",0,0,100,0.75,0.204,0,-0.262055842382443,0.583619380167573,-1.50935796756649,0.653657896486664,0.653418380755539,FALSE,-0.262055842382443
"standard",0,0,100,0.75,0.204,0,-0.100771820511441,0.134500930706824,-0.333256287800621,0.207297605543245,0.45371998729725,FALSE,-0.100771820511441
"gestimation",0,0,100,0.75,0.204,0,-0.00422623582259447,0.213181855676523,-0.470012259631625,0.392002833995388,0.98418332817782,FALSE,-0.00422623582259447
"standard",0,0,100,0.75,0.204,0,-0.015344461066025,0.223024979020489,-0.403493217949593,0.428009710660779,0.945147595639162,FALSE,-0.015344461066025
"gestimation",0,0,100,0.75,0.204,0,0.3597379116366,0.81317354368911,-0.804993865773998,2.20364439388607,0.658208733352967,FALSE,0.3597379116366
"standard",0,0,100,0.75,0.204,0,-0.0755318755349857,0.121295960802769,-0.309880019450712,0.150004829597553,0.533476910265932,FALSE,-0.0755318755349857
"gestimation",0,0,100,0.75,0.204,0,0.1834716820327,0.231520949085171,-0.219841925323225,0.620880473652515,0.428091019092594,FALSE,0.1834716820327
"standard",0,0,100,0.75,0.204,0,0.244066075900196,0.160416868767445,-0.105896093791216,0.536298805986051,0.128147213951033,FALSE,0.244066075900196
"gestimation",0,0,100,0.75,0.204,0,0.36337402795082,0.418971524105959,-0.45789379827668,1.29326029331826,0.385777623886022,FALSE,0.36337402795082
"standard",0,0,100,0.75,0.204,0,0.0978918769711205,0.156370506143167,-0.17245182587026,0.464921079424402,0.531298414212213,FALSE,0.0978918769711205
"gestimation",0,0,100,0.75,0.204,0,0.185963252174851,1.2811013236612,-1.70851541028261,2.9418809196865,0.884585419377268,FALSE,0.185963252174851
"standard",0,0,100,0.75,0.204,0,-0.294942983071862,0.0985676136342897,-0.454709793476152,-0.100351614216814,0.00276892188567133,TRUE,-0.294942983071862
"gestimation",0,0,100,0.75,0.204,0,-0.279930966240356,0.181471015846195,-0.648864555356598,0.037683300471061,0.122936183416586,FALSE,-0.279930966240356
"standard",0,0,100,0.75,0.204,0,-0.00675742820033518,0.11398340324585,-0.199031342483967,0.217794676337348,0.952725652436781,FALSE,-0.00675742820033518
"gestimation",0,0,100,0.75,0.204,0,-0.201073766836624,0.502369382759613,-1.36153906775295,0.56833818171387,0.68897177316999,FALSE,-0.201073766836624
"standard",0,0,100,0.75,0.204,0,-0.204411303295019,0.118410312186408,-0.408280028504696,0.0256597222167493,0.0842940910877708,FALSE,-0.204411303295019
"gestimation",0,0,100,0.75,0.204,0,-0.347248701535591,0.585810897348131,-1.69059985119784,0.484410388823799,0.553337857128174,FALSE,-0.347248701535591
"standard",0,0,100,0.75,0.204,0,-0.0187058508248403,0.15598174500514,-0.276576153435548,0.244086962715277,0.904543880411975,FALSE,-0.0187058508248403
"gestimation",0,0,100,0.75,0.204,0,0.272186132959221,0.268168154022298,-0.247627990946863,0.747144542735155,0.310113903657363,FALSE,0.272186132959221
"standard",0,0,100,0.75,0.204,0,0.0467674748062383,0.182963359734127,-0.28577826194891,0.460297493659875,0.798251107841957,FALSE,0.0467674748062383
"gestimation",0,0,100,0.75,0.204,0,-0.378407148656734,0.492181586025552,-1.54756001146336,0.468765053515112,0.441990401070147,FALSE,-0.378407148656734
"standard",0,0,100,0.75,0.204,0,-0.101240002665228,0.135014481317124,-0.375003279351038,0.135443424612763,0.453347755299613,FALSE,-0.101240002665228
"gestimation",0,0,100,0.75,0.204,0,-0.266388723017324,0.306737698242723,-0.882628193990936,0.317503036476433,0.38514380670256,FALSE,-0.266388723017324
"standard",0,0,100,0.75,0.204,0,0.00803588341218754,0.144037448347063,-0.267533076683628,0.302648764510945,0.95550891239974,FALSE,0.00803588341218754
"gestimation",0,0,100,0.75,0.204,0,-0.306845097466171,0.481176489576193,-1.26619392348929,0.49885225397877,0.52367054153346,FALSE,-0.306845097466171
"standard",0,0,100,0.75,0.204,0,-0.290946104390599,0.126716994264071,-0.529452454417751,-0.0609477755416935,0.0216741281951972,TRUE,-0.290946104390599
"gestimation",0,0,100,0.75,0.204,0,0.267210149758929,0.509628160142519,-0.594800823045382,1.31250853120315,0.600053378370481,FALSE,0.267210149758929
"standard",0,0,100,0.75,0.204,0,0.0826620339414111,0.163149160797892,-0.193483378344824,0.375249258300415,0.612389615438546,FALSE,0.0826620339414111
"gestimation",0,0,100,0.75,0.204,0,-0.351224992630122,0.881341402535495,-2.07911620758394,0.652729565477694,0.690252925232025,FALSE,-0.351224992630122
"standard",0,0,100,0.75,0.204,0,-0.141221433450892,0.133074575017648,-0.347358423603196,0.174992802551225,0.288589819785208,FALSE,-0.141221433450892
"gestimation",0,0,100,0.75,0.204,0,0.443918269236817,0.393559542639104,-0.238124339116087,1.54341594419568,0.259338049234614,FALSE,0.443918269236817
